Time,Umred1,Umred2,Umred4,Umred6,Umred7,Umred8,Umred9,Umred10,Saoner9,Saoner8,Saoner7,Saoner3,Ramtek6,Ramtek5,Ramtek3,Ramtek2,Ramtek1,Parseoni5,Parseoni2,Narkhed8,Parseoni7,Parseoni6,Parseoni4,Parseoni10,Parseoni1,Narkhed7,Narkhed4,Narkhed3,Narkhed10,Narkhed1,Nagpur6,Nagpur8,Nagpur9,Nagpur7,Nagpur4,Nagpur5,Kuhi8,Kuhi5,Nagpur3,Mauda9,Mauda4,Mauda3,Kuhi9,Nagpur2,Kuhi3,Kuhi2,Kuhi10,Kuhi1,Katol9,Katol8,Katol6,Katol10,Katol1,Kamthi9,Kamthi6,Kamthi5,Kalmeshwar4,Hingna9,Kamthi4,Kamthi2,Kamthi10,Kalmeshwar8,Kalmeshwar6,Hingna7,Hingna6,Hingna10,Hingna1,Bhivapur9,Bhivapur8,Bhivapur7,Bhivapur5,Bhivapur4,Bhivapur3,Bhivapur2,Bhivapur10
3/12/1981,6.853474,6.689722,3.931651,9.136988,4.187421,5.987647,6.853474,6.689722,1.736003,4.464806,5.987647,6.689722,4.187421,7.058245,7.058245,7.058245,8.382909,4.429319,3.42016,8.466148,6.689722,5.952482,6.853474,7.058245,7.058245,5.783103,7.058245,6.689722,6.689722,0.369648,0,6.689722,8.250225,6.689722,0,6.689722,4.429319,5.987647,6.689722,0,7.058245,6.689722,7.058245,7.058245,6.853474,0.2296083,6.853474,6.853474,6.689722,6.689722,5.952482,6.689722,7.058245,6.689722,6.689722,6.853474,4.464806,5.987647,6.689722,6.689722,7.596486,6.853474,0.369648,6.853474,6.853474,6.689722,7.596486,6.853474,13.9239,0,5.556854,12.22756,0,6.853474,5.987647
3/13/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/16/1981,4.22754,4.363601,5.533581,0,0,3.405852,4.22754,4.363601,3.991789,0,3.405852,4.363601,0,5.56019,5.56019,5.56019,11.68924,0,0,9.321761,4.363601,3.579872,4.22754,5.56019,5.56019,3.030162,5.56019,4.363601,4.363601,0,0,4.363601,6.560706,4.363601,0,4.363601,0,3.405852,4.363601,0,5.56019,4.363601,5.56019,5.56019,4.22754,0.2835971,4.22754,4.22754,4.363601,4.363601,3.579872,4.363601,5.56019,4.363601,4.363601,4.22754,0,3.405852,4.363601,4.363601,11.22358,4.22754,0,4.22754,4.22754,4.363601,11.22358,4.22754,0,0,0,0,0,4.22754,3.405852
3/17/1981,7.15126,7.180962,0,0,9.703892,6.145374,7.15126,7.180962,3.647999,9.718231,6.145374,7.180962,9.703892,8.213917,8.213917,8.213917,9.659003,8.397019,8.760221,9.796644,7.180962,6.579767,7.15126,8.213917,8.213917,7.301513,8.213917,7.180962,7.180962,10.00419,0,7.180962,9.128004,7.180962,0,7.180962,8.397019,6.145374,7.180962,0,8.213917,7.180962,8.213917,8.213917,7.15126,10.27998,7.15126,7.15126,7.180962,7.180962,6.579767,7.180962,8.213917,7.180962,7.180962,7.15126,9.718231,6.145374,7.180962,7.180962,9.221957,7.15126,10.00419,7.15126,7.15126,7.180962,9.221957,7.15126,10.71335,0,0,13.2335,0,7.15126,6.145374
3/18/1981,0,0,0,6.081933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/19/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.77256,0,0,0,15.65867,0,0,0,0,22.69755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.987355,23.44257,22.47665,0,15.65867,0,0
3/20/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.272328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.272328,0,0
3/21/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
