,State,Station Name,Rainfall
275,TAMIL NADU,KOLLIDAM,11.0
276,TAMIL NADU,KOMARAPALAYAM,0.0
277,TAMIL NADU,KUDAVASAL,0.0
278,TAMIL NADU,KULITHALAI,0.0
279,TAMIL NADU,KVK  KATTUPAKKAM,0.0
280,TAMIL NADU,LALPET,0.0
281,TAMIL NADU,MANAPARAI,0.0
282,TAMIL NADU,NAGERCOIL,0.0
283,TAMIL NADU,NILAKOTTAI,0.0
284,TAMIL NADU,ORATHANADU,0.0
285,TAMIL NADU,PALACODE,0.0
286,TAMIL NADU,PAPPIREDDI,0.0
287,TAMIL NADU,PERUNDURAI,0.0
288,TAMIL NADU,POONAMALLEE,0.0
289,TAMIL NADU,PUZHAL,0.0
290,TAMIL NADU,R.K.PET,0.0
291,TAMIL NADU,RADHAPURAM,0.0
292,TAMIL NADU,SANKARANKOIL,0.0
293,TAMIL NADU,SATHYABAMA  UNIVERSITY,0.0
294,TAMIL NADU,SATTANKULAM,0.0
295,TAMIL NADU,SIVAKASI,0.0
296,TAMIL NADU,TARAMANI,0.0
297,TAMIL NADU,TIRUVALLUR,0.0
298,TAMIL NADU,VADIPATTI,0.0
299,TAMIL NADU,VALINOKKAM,0.0
300,TAMIL NADU,VANIYAMBADI,0.0
301,TAMIL NADU,VAZHAPADI,0.0
302,TAMIL NADU,VRIDHA_CHALAM,0.0
303,TAMIL NADU,YELAGIRI HILL,0.0
304,TAMIL NADU,YERCAUD_ISRO,1.0
305,UTTAR PRADESH,AMRITPUR,0.0
306,UTTAR PRADESH,BARAUT,0.0
307,UTTAR PRADESH,BHATPARRANI,1.0
308,UTTAR PRADESH,BISAULI,0.0
309,UTTAR PRADESH,CHANDAUSI,0.0
310,UTTAR PRADESH,DANAURA,0.0
311,UTTAR PRADESH,DHAMPUR,0.0
312,UTTAR PRADESH,DHANGHATA,0.0
313,UTTAR PRADESH,DOMARIAGANJ,0.0
314,UTTAR PRADESH,FARENDA,3.0
315,UTTAR PRADESH,JALALABAD,0.0
316,UTTAR PRADESH,KHAGA,0.0
317,UTTAR PRADESH,KUNDA,0.0
318,UTTAR PRADESH,MACHHLISHAHAR,0.0
319,UTTAR PRADESH,MANIHARAN,0.0
320,UTTAR PRADESH,MOTH,0.0
321,UTTAR PRADESH,RASULABAD,0.0
322,UTTAR PRADESH,SAHABAD,0.0
323,UTTAR PRADESH,SAIFAI,0.0
324,UTTAR PRADESH,SAMBHAL,0.0
325,UTTAR PRADESH,SIKANDRA,0.0
326,UTTAR PRADESH,SIRATHU,0.0
327,UTTAR PRADESH,TILHAR,0.0
328,UTTAR PRADESH,TUNDLA,0.0
329,UTTAR PRADESH,UTRAULA,3.0
330,UTTARAKHAND,DEHRADUN,0.0
331,UTTARAKHAND,PATI,0.0
332,UTTARAKHAND,SRINAGAR_ARG,0.0
333,WEST BENGAL,ALIPORE,0.0
334,WEST BENGAL,ALIPURDUAR,0.0
335,WEST BENGAL,CHAKDAH,0.0
336,WEST BENGAL,CHENGMARI TEA GARDEN,0.0
337,WEST BENGAL,CHOPRA,0.0
338,WEST BENGAL,DEGANGA,2.0
339,WEST BENGAL,DHANIAKHALI,0.0
340,WEST BENGAL,GANAGRAMPUR,0.0
341,WEST BENGAL,JAGATBALLAVPUR,0.0
342,WEST BENGAL,JHALDA,0.0
343,WEST BENGAL,MEKHLIGANJ,0.0
344,WEST BENGAL,PEDONG,0.0
345,WEST BENGAL,RATUA,0.0
346,WEST BENGAL,SHEKHAMPORE,5.0
347,WEST BENGAL,SILIGURI,10.0
348,WEST BENGAL,SONAMUKHI,0.0
349,WEST BENGAL,TOOFANGANJ,0.0
